Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003,SE_T012_001,SE_T012_002,SE_T012_003,SE_T037_001,SE_T037_002,SE_T037_003,SE_T057_001,SE_T157_001
"13121004300","14000US13121004300","Census Tract 43, Fulton County, Georgia","Census Tract 43, Fulton County, Georgia","ga","140","00","ACSSF","0003154",,,,,"13","121",,,,"004300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2996,12629.09,0.237230056664355,21.1,29.3,20.7,1687,1456,231,28016,0.5867
"13121004400","14000US13121004400","Census Tract 44, Fulton County, Georgia","Census Tract 44, Fulton County, Georgia","ga","140","00","ACSSF","0003155",,,,,"13","121",,,,"004400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817,8837.814,0.318743947848407,25.1,23.7,26.1,1311,1173,138,19754,0.4341
"13121004800","14000US13121004800","Census Tract 48, Fulton County, Georgia","Census Tract 48, Fulton County, Georgia","ga","140","00","ACSSF","0003156",,,,,"13","121",,,,"004800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141,7517.199,0.151785259236722,29,26.9,37.1,549,495,54,17500,0.5022
"13121004900","14000US13121004900","Census Tract 49, Fulton County, Georgia","Census Tract 49, Fulton County, Georgia","ga","140","00","ACSSF","0003157",,,,,"13","121",,,,"004900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940,6960.081,0.422408906913854,34.4,32.2,38.5,1897,1641,256,66786,0.4464
"13121005000","14000US13121005000","Census Tract 50, Fulton County, Georgia","Census Tract 50, Fulton County, Georgia","ga","140","00","ACSSF","0003158",,,,,"13","121",,,,"005000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,3816.266,0.52512057970925,37.2,38.6,35.1,1376,1253,123,61607,0.4578
"13121005200","14000US13121005200","Census Tract 52, Fulton County, Georgia","Census Tract 52, Fulton County, Georgia","ga","140","00","ACSSF","0003159",,,,,"13","121",,,,"005200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5534,6321.638,0.875405986437003,32.7,32.5,33.3,3720,3598,122,88591,0.3725
"13121005300","14000US13121005300","Census Tract 53, Fulton County, Georgia","Census Tract 53, Fulton County, Georgia","ga","140","00","ACSSF","0003160",,,,,"13","121",,,,"005300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3606,4216.049,0.855303190593933,36.7,37.2,36.3,2472,2258,214,95259,0.421
"13121005501","14000US13121005501","Census Tract 55.01, Fulton County, Georgia","Census Tract 55.01, Fulton County, Georgia","ga","140","00","ACSSF","0003161",,,,,"13","121",,,,"005501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,4985.695,0.460517577687619,28.7,27.2,31.3,1143,1038,105,20000,0.5576
"13121005502","14000US13121005502","Census Tract 55.02, Fulton County, Georgia","Census Tract 55.02, Fulton County, Georgia","ga","140","00","ACSSF","0003162",,,,,"13","121",,,,"005502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157,3282.05,0.657211153101868,28.3,21.6,29.9,896,716,180,16675,0.5219
"13121005700","14000US13121005700","Census Tract 57, Fulton County, Georgia","Census Tract 57, Fulton County, Georgia","ga","140","00","ACSSF","0003163",,,,,"13","121",,,,"005700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,5312.11,0.32134125717957,28.6,28.4,28.8,735,576,159,17782,0.5033
"13121005800","14000US13121005800","Census Tract 58, Fulton County, Georgia","Census Tract 58, Fulton County, Georgia","ga","140","00","ACSSF","0003164",,,,,"13","121",,,,"005800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,4221.676,0.485115375051931,34.8,38.1,33,1092,817,275,30652,0.4655
"13121006000","14000US13121006000","Census Tract 60, Fulton County, Georgia","Census Tract 60, Fulton County, Georgia","ga","140","00","ACSSF","0003165",,,,,"13","121",,,,"006000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3401,5644.078,0.602578467545023,37.9,40.1,36.1,1560,1345,215,31909,0.4208
"13121006100","14000US13121006100","Census Tract 61, Fulton County, Georgia","Census Tract 61, Fulton County, Georgia","ga","140","00","ACSSF","0003166",,,,,"13","121",,,,"006100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3876,4467.732,0.86755421260639,38,30.8,41.7,1632,1341,291,30256,0.4603
"13121006200","14000US13121006200","Census Tract 62, Fulton County, Georgia","Census Tract 62, Fulton County, Georgia","ga","140","00","ACSSF","0003167",,,,,"13","121",,,,"006200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480,3684.725,0.40165823162115,33.9,36.6,33.3,804,675,129,24625,0.4618
"13121006300","14000US13121006300","Census Tract 63, Fulton County, Georgia","Census Tract 63, Fulton County, Georgia","ga","140","00","ACSSF","0003168",,,,,"13","121",,,,"006300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705,3330.851,0.511881136128816,35.7,34.2,38.9,822,606,216,24509,0.5442
"13121006400","14000US13121006400","Census Tract 64, Fulton County, Georgia","Census Tract 64, Fulton County, Georgia","ga","140","00","ACSSF","0003169",,,,,"13","121",,,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159,2389.372,0.485064795667007,32.9,34.9,28.8,674,607,67,44028,0.3833
"13121006500","14000US13121006500","Census Tract 65, Fulton County, Georgia","Census Tract 65, Fulton County, Georgia","ga","140","00","ACSSF","0003170",,,,,"13","121",,,,"006500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4611,3640.708,1.26651204561566,37.1,37.1,38.1,1949,1656,293,40375,0.4425
"13121006601","14000US13121006601","Census Tract 66.01, Fulton County, Georgia","Census Tract 66.01, Fulton County, Georgia","ga","140","00","ACSSF","0003171",,,,,"13","121",,,,"006601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2107,2792.581,0.754499248645167,35.9,30.7,42.9,1128,888,240,29674,0.4576
"13121006602","14000US13121006602","Census Tract 66.02, Fulton County, Georgia","Census Tract 66.02, Fulton County, Georgia","ga","140","00","ACSSF","0003172",,,,,"13","121",,,,"006602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1388,5662.344,0.245128162755966,29.8,29.5,29.9,591,452,139,17857,0.4988
"13121006700","14000US13121006700","Census Tract 67, Fulton County, Georgia","Census Tract 67, Fulton County, Georgia","ga","140","00","ACSSF","0003173",,,,,"13","121",,,,"006700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3868,2962.688,1.30557091384207,39.6,36.6,43.2,1327,1024,303,20895,0.4974
"13121006801","14000US13121006801","Census Tract 68.01, Fulton County, Georgia","Census Tract 68.01, Fulton County, Georgia","ga","140","00","ACSSF","0003174",,,,,"13","121",,,,"006801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2509,9836.311,0.255075313090254,40.9,40.8,,0,0,0,,
"13121006802","14000US13121006802","Census Tract 68.02, Fulton County, Georgia","Census Tract 68.02, Fulton County, Georgia","ga","140","00","ACSSF","0003175",,,,,"13","121",,,,"006802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,7307.823,0.280247630490952,11.3,7.5,19.1,473,248,225,6815,0.6601
"13121006900","14000US13121006900","Census Tract 69, Fulton County, Georgia","Census Tract 69, Fulton County, Georgia","ga","140","00","ACSSF","0003176",,,,,"13","121",,,,"006900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3984,3274.906,1.2165233970196,32.2,33.3,30.7,1960,1807,153,51429,0.4338
"13121007001","14000US13121007001","Census Tract 70.01, Fulton County, Georgia","Census Tract 70.01, Fulton County, Georgia","ga","140","00","ACSSF","0003177",,,,,"13","121",,,,"007001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859,2758.837,1.76124947297053,30.6,31.1,28.8,1618,1407,211,19939,0.555
"13121007002","14000US13121007002","Census Tract 70.02, Fulton County, Georgia","Census Tract 70.02, Fulton County, Georgia","ga","140","00","ACSSF","0003178",,,,,"13","121",,,,"007002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2216,1312.511,1.6883668959084,30.9,31.4,30.5,1156,908,248,33536,0.4661
"13121007100","14000US13121007100","Census Tract 71, Fulton County, Georgia","Census Tract 71, Fulton County, Georgia","ga","140","00","ACSSF","0003179",,,,,"13","121",,,,"007100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,2092.539,0.956732618066184,42.7,42.4,43.1,889,737,152,20938,0.5811
"13121007200","14000US13121007200","Census Tract 72, Fulton County, Georgia","Census Tract 72, Fulton County, Georgia","ga","140","00","ACSSF","0003180",,,,,"13","121",,,,"007200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,603.9525,3.46053688279637,33.4,33.2,33.7,841,582,259,24297,0.415
"13121007300","14000US13121007300","Census Tract 73, Fulton County, Georgia","Census Tract 73, Fulton County, Georgia","ga","140","00","ACSSF","0003181",,,,,"13","121",,,,"007300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7995,2719.59,2.93978157427756,30.8,28.7,32.5,3210,2595,615,22180,0.4761
"13121007400","14000US13121007400","Census Tract 74, Fulton County, Georgia","Census Tract 74, Fulton County, Georgia","ga","140","00","ACSSF","0003182",,,,,"13","121",,,,"007400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3018,3360.941,0.897962847704314,35.3,33.9,35.9,1122,786,336,17953,0.4339
"13121007500","14000US13121007500","Census Tract 75, Fulton County, Georgia","Census Tract 75, Fulton County, Georgia","ga","140","00","ACSSF","0003183",,,,,"13","121",,,,"007500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005,2361.562,1.27246303843879,40.8,43.2,38.5,1487,1282,205,20051,0.4956
"13121007602","14000US13121007602","Census Tract 76.02, Fulton County, Georgia","Census Tract 76.02, Fulton County, Georgia","ga","140","00","ACSSF","0003184",,,,,"13","121",,,,"007602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2676,2056.656,1.3011411635884,47.2,48,46.3,1285,1115,170,31951,0.4742
"13121007603","14000US13121007603","Census Tract 76.03, Fulton County, Georgia","Census Tract 76.03, Fulton County, Georgia","ga","140","00","ACSSF","0003185",,,,,"13","121",,,,"007603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4601,3778.839,1.21756973391383,30.9,29.7,31.5,1890,1362,528,13819,0.4561
"13121007604","14000US13121007604","Census Tract 76.04, Fulton County, Georgia","Census Tract 76.04, Fulton County, Georgia","ga","140","00","ACSSF","0003186",,,,,"13","121",,,,"007604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438,5643.25,0.432020534458075,33.7,27.2,41.3,1301,1025,276,15493,0.6189
"13121007703","14000US13121007703","Census Tract 77.03, Fulton County, Georgia","Census Tract 77.03, Fulton County, Georgia","ga","140","00","ACSSF","0003187",,,,,"13","121",,,,"007703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4420,2529.005,1.7477227693719,36.1,33.8,42.4,1885,1659,226,40058,0.5187
"13121007704","14000US13121007704","Census Tract 77.04, Fulton County, Georgia","Census Tract 77.04, Fulton County, Georgia","ga","140","00","ACSSF","0003188",,,,,"13","121",,,,"007704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446,2085.9,2.6108630619138,33,31.8,35.8,2715,2384,331,31537,0.5295
"13121007705","14000US13121007705","Census Tract 77.05, Fulton County, Georgia","Census Tract 77.05, Fulton County, Georgia","ga","140","00","ACSSF","0003189",,,,,"13","121",,,,"007705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,3770.508,1.27303794457735,30.8,28.2,31.5,2022,1610,412,20756,0.4844
"13121007706","14000US13121007706","Census Tract 77.06, Fulton County, Georgia","Census Tract 77.06, Fulton County, Georgia","ga","140","00","ACSSF","0003190",,,,,"13","121",,,,"007706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9561,1952.352,4.89717056604123,33.7,30.8,35.4,4843,4051,792,39451,0.4287
"13121007802","14000US13121007802","Census Tract 78.02, Fulton County, Georgia","Census Tract 78.02, Fulton County, Georgia","ga","140","00","ACSSF","0003191",,,,,"13","121",,,,"007802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9897,1924.93,5.14148521151449,33.1,32.1,34.9,5606,4592,1014,46917,0.5232
"13121007805","14000US13121007805","Census Tract 78.05, Fulton County, Georgia","Census Tract 78.05, Fulton County, Georgia","ga","140","00","ACSSF","0003192",,,,,"13","121",,,,"007805",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3166,545.2984,5.80599562623456,41.7,38.1,48.2,1492,1285,207,29253,0.5109
"13121007806","14000US13121007806","Census Tract 78.06, Fulton County, Georgia","Census Tract 78.06, Fulton County, Georgia","ga","140","00","ACSSF","0003193",,,,,"13","121",,,,"007806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7253,3783.722,1.91689536785499,36.5,26.7,44,3073,2023,1050,27174,0.3814
"13121007807","14000US13121007807","Census Tract 78.07, Fulton County, Georgia","Census Tract 78.07, Fulton County, Georgia","ga","140","00","ACSSF","0003194",,,,,"13","121",,,,"007807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3543,3165.62,1.1192121353458,29.2,26.5,33.5,1069,732,337,18841,0.5157
"13121007808","14000US13121007808","Census Tract 78.08, Fulton County, Georgia","Census Tract 78.08, Fulton County, Georgia","ga","140","00","ACSSF","0003195",,,,,"13","121",,,,"007808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4716,7489.37,0.62969249278375,19.1,11.7,23.2,1612,1153,459,11715,0.6137
"13121007900","14000US13121007900","Census Tract 79, Fulton County, Georgia","Census Tract 79, Fulton County, Georgia","ga","140","00","ACSSF","0003196",,,,,"13","121",,,,"007900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5552,1701.913,3.26221163959061,45.2,37.2,52,2672,2224,448,56085,0.3983
"13121008000","14000US13121008000","Census Tract 80, Fulton County, Georgia","Census Tract 80, Fulton County, Georgia","ga","140","00","ACSSF","0003197",,,,,"13","121",,,,"008000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5824,2551.276,2.28277891635019,39.8,36.9,44.8,2640,2136,504,40685,0.4301
"13121008101","14000US13121008101","Census Tract 81.01, Fulton County, Georgia","Census Tract 81.01, Fulton County, Georgia","ga","140","00","ACSSF","0003198",,,,,"13","121",,,,"008101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1219,3496.224,0.348661847081917,46.1,40.3,51.2,521,398,123,28924,0.4341
"13121008102","14000US13121008102","Census Tract 81.02, Fulton County, Georgia","Census Tract 81.02, Fulton County, Georgia","ga","140","00","ACSSF","0003199",,,,,"13","121",,,,"008102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7329,2631.601,2.78499668724334,37.2,36.7,39,2714,2003,711,22673,0.4556
"13121008201","14000US13121008201","Census Tract 82.01, Fulton County, Georgia","Census Tract 82.01, Fulton County, Georgia","ga","140","00","ACSSF","0003200",,,,,"13","121",,,,"008201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6242,3017.359,2.06869645728088,33.9,27.6,50.1,2119,1753,366,28745,0.4533
"13121008202","14000US13121008202","Census Tract 82.02, Fulton County, Georgia","Census Tract 82.02, Fulton County, Georgia","ga","140","00","ACSSF","0003201",,,,,"13","121",,,,"008202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111,789.5077,2.67381817985257,37.2,34.8,38,944,761,183,28355,0.3684
"13121008301","14000US13121008301","Census Tract 83.01, Fulton County, Georgia","Census Tract 83.01, Fulton County, Georgia","ga","140","00","ACSSF","0003202",,,,,"13","121",,,,"008301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2262,2229.138,1.0147421532455,41.8,42.1,41.5,1099,988,111,31977,0.4202
"13121008302","14000US13121008302","Census Tract 83.02, Fulton County, Georgia","Census Tract 83.02, Fulton County, Georgia","ga","140","00","ACSSF","0003203",,,,,"13","121",,,,"008302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1705,2335.885,0.729916123163505,44.3,41.5,51.3,737,627,110,27869,0.4129
"13121008400","14000US13121008400","Census Tract 84, Fulton County, Georgia","Census Tract 84, Fulton County, Georgia","ga","140","00","ACSSF","0003204",,,,,"13","121",,,,"008400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2817,4103.409,0.686502408505368,43.3,45.7,35.9,1124,853,271,20625,0.4662
"13121008500","14000US13121008500","Census Tract 85, Fulton County, Georgia","Census Tract 85, Fulton County, Georgia","ga","140","00","ACSSF","0003205",,,,,"13","121",,,,"008500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2322,1585.4,1.46461450786645,46.9,57,41.6,1244,913,331,28556,0.3548
"13121008601","14000US13121008601","Census Tract 86.01, Fulton County, Georgia","Census Tract 86.01, Fulton County, Georgia","ga","140","00","ACSSF","0003206",,,,,"13","121",,,,"008601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4095,2351.615,1.74135671671066,31.5,35.4,30.6,1446,1114,332,20777,0.4533
"13121008602","14000US13121008602","Census Tract 86.02, Fulton County, Georgia","Census Tract 86.02, Fulton County, Georgia","ga","140","00","ACSSF","0003207",,,,,"13","121",,,,"008602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070,609.8544,1.75451700934522,45,45,44.5,517,477,40,35649,0.42
"13121008700","14000US13121008700","Census Tract 87, Fulton County, Georgia","Census Tract 87, Fulton County, Georgia","ga","140","00","ACSSF","0003208",,,,,"13","121",,,,"008700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4235,1422.333,2.97750221236546,37.5,41.2,37.1,2094,1787,307,27395,0.476
"13121008800","14000US13121008800","Census Tract 88, Fulton County, Georgia","Census Tract 88, Fulton County, Georgia","ga","140","00","ACSSF","0003209",,,,,"13","121",,,,"008800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4859,1306.318,3.71961453103258,34,33.5,34.5,2732,2644,88,94196,0.4348
"13121008902","14000US13121008902","Census Tract 89.02, Fulton County, Georgia","Census Tract 89.02, Fulton County, Georgia","ga","140","00","ACSSF","0003210",,,,,"13","121",,,,"008902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6839,2557.662,2.67392667456374,30.3,31.6,29.2,5400,5141,259,60802,0.4094
"13121008903","14000US13121008903","Census Tract 89.03, Fulton County, Georgia","Census Tract 89.03, Fulton County, Georgia","ga","140","00","ACSSF","0003211",,,,,"13","121",,,,"008903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667,3750.655,0.444455727208003,30.8,31.4,30.1,1154,1136,18,64323,0.3433
"13121008904","14000US13121008904","Census Tract 89.04, Fulton County, Georgia","Census Tract 89.04, Fulton County, Georgia","ga","140","00","ACSSF","0003212",,,,,"13","121",,,,"008904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4688,4069.702,1.15192695873494,37,35.1,39.2,3048,2926,122,77055,0.4345
